Ctry,Year,SR,Lat,Lon,PType,PNum,Catch
DE,1998,29D9,50.25,-10.5,M,6,20.361
DE,1998,30D9,50.75,-10.5,M,6,2.937
DE,1998,34F2,52.75,2.5,M,6,0.902
DE,1998,34F3,52.75,3.5,M,6,1.974
DE,1998,35F4,53.25,4.5,M,6,1.409
DE,1998,36F3,53.75,3.5,M,6,2.747
DE,1998,36F4,53.75,4.5,M,6,1.173
DE,1998,36F5,53.75,5.5,M,6,0.037
DE,1998,36F6,53.75,6.5,M,6,0.153
DE,1998,36F7,53.75,7.5,M,6,0.03
DE,1998,37F2,54.25,2.5,M,6,0.048
DE,1998,37F3,54.25,3.5,M,6,0.143
DE,1998,37F4,54.25,4.5,M,6,2.007
DE,1998,37F5,54.25,5.5,M,6,0.358
DE,1998,37F6,54.25,6.5,M,6,0.071
DE,1998,37F7,54.25,7.5,M,6,0.191
DE,1998,38F4,54.75,4.5,M,6,0.411
DE,1998,38F6,54.75,6.5,M,6,0.184
DE,1998,38F7,54.75,7.5,M,6,0.682
DE,1998,39F6,55.25,6.5,M,6,0.045
DE,1998,39F7,55.25,7.5,M,6,0.134
DE,1998,40F7,55.75,7.5,M,6,0.076
DE,1998,41F7,56.25,7.5,M,6,0.051
DE,1998,42F6,56.75,6.5,M,6,0.017
DE,1998,42F7,56.75,7.5,M,6,0.134
DE,1998,43E0,57.25,-9.5,M,6,161.293
DE,1998,43G1,57.25,11.5,M,6,0.001
DE,1998,44E0,57.75,-9.5,M,6,5.04
DE,1998,44G0,57.75,10.5,M,6,0.01
DE,1998,45E1,58.25,-8.5,M,6,10.08
DE,1998,46E2,58.75,-7.5,M,6,106.855
DE,1998,46E3,58.75,-6.5,M,6,10.08
DE,1998,48E5,59.75,-4.5,M,6,55.444
DE,1998,34F2,52.75,2.5,M,7,0.212
DE,1998,35F4,53.25,4.5,M,7,0.844
DE,1998,36F2,53.75,2.5,M,7,0.43
DE,1998,36F3,53.75,3.5,M,7,0.131
DE,1998,36F4,53.75,4.5,M,7,0.246
DE,1998,36F6,53.75,6.5,M,7,0.021
DE,1998,36F7,53.75,7.5,M,7,0.047
DE,1998,36F8,53.75,8.5,M,7,0.142
DE,1998,37F2,54.25,2.5,M,7,0.471
DE,1998,37F3,54.25,3.5,M,7,0.48
DE,1998,37F4,54.25,4.5,M,7,0.718
DE,1998,37F6,54.25,6.5,M,7,0.008
DE,1998,37F7,54.25,7.5,M,7,0.202
DE,1998,38F1,54.75,1.5,M,7,0.08
DE,1998,38F4,54.75,4.5,M,7,0.878
DE,1998,38F6,54.75,6.5,M,7,0.52
DE,1998,38F7,54.75,7.5,M,7,0.364
DE,1998,39F1,55.25,1.5,M,7,0.01
DE,1998,39F4,55.25,4.5,M,7,0.041
DE,1998,39F6,55.25,6.5,M,7,0.573
DE,1998,39F7,55.25,7.5,M,7,0.115
DE,1998,41F6,56.25,6.5,M,7,0.044
DE,1998,41F7,56.25,7.5,M,7,0.008
DE,1998,42F6,56.75,6.5,M,7,0.001
DE,1998,42F7,56.75,7.5,M,7,0.282
DE,1998,44G0,57.75,10.5,M,7,0.024
DE,1998,46E2,58.75,-7.5,M,7,42.87
DE,1998,46E3,58.75,-6.5,M,7,19.868
